country,food_category,consumption,co2_emission
Argentina,7,10.51,37.2
Argentina,8,38.66,41.53
Argentina,1,55.48,1712
Argentina,4,1.56,54.63
Argentina,3,4.36,6.96
Argentina,2,11.39,10.46
Argentina,5,195.08,277.87
Argentina,11,103.11,19.66
Argentina,9,8.77,11.22
Argentina,10,0,0
Argentina,6,0.49,0.87
Australia,7,24.14,85.44
Australia,8,46.12,49.54
Australia,1,33.86,1044.85
Australia,4,9.87,345.65
Australia,3,17.69,28.25
Australia,2,8.51,7.82
Australia,5,234.49,334.01
Australia,11,70.46,13.44
Australia,9,11.03,14.12
Australia,10,0.19,0.09
Australia,6,8.73,15.45
Albania,7,10.88,38.51
Albania,8,13.23,14.21
Albania,1,22.5,694.3
Albania,4,15.32,536.5
Albania,3,3.85,6.15
Albania,2,12.45,11.44
Albania,5,303.72,432.62
Albania,11,138.64,26.44
Albania,9,7.78,9.96
Albania,10,0,0
Albania,6,4.36,7.72
Iceland,7,21.69,76.77
Iceland,8,26.87,28.86
Iceland,1,13.36,412.26
Iceland,4,21.12,739.62
Iceland,3,74.41,118.81
Iceland,2,8.24,7.57
Iceland,5,225.82,321.66
Iceland,11,72.92,13.91
Iceland,9,3.89,4.98
Iceland,10,0.11,0.05
Iceland,6,3.88,6.87
New Zealand,7,22.29,78.9
New Zealand,8,34.98,37.58
New Zealand,1,22.49,693.99
New Zealand,4,18.91,662.23
New Zealand,3,20.36,32.51
New Zealand,2,9.91,9.1
New Zealand,5,137.25,195.5
New Zealand,11,76.91,14.67
New Zealand,9,9.16,11.72
New Zealand,10,0.44,0.2
New Zealand,6,8.22,14.55
USA,7,27.64,97.83
USA,8,50.01,53.72
USA,1,36.24,1118.29
USA,4,0.43,15.06
USA,3,12.35,19.72
USA,2,14.58,13.39
USA,5,254.69,362.78
USA,11,80.43,15.34
USA,9,6.88,8.8
USA,10,0.04,0.02
USA,6,7.86,13.91
Uruguay,7,16.84,59.61
Uruguay,8,27.45,29.49
Uruguay,1,29.1,897.96
Uruguay,4,8.23,288.21
Uruguay,3,6.53,10.43
Uruguay,2,13.14,12.07
Uruguay,5,210.54,299.89
Uruguay,11,109.31,20.85
Uruguay,9,11.5,14.72
Uruguay,10,0.01,0
