census_id,state,county,region,metro,population,men,women,hispanic,white,black,native,asian,pacific,citizens,income,income_err,income_per_cap,income_per_cap_err,poverty,child_poverty,professional,service,office,construction,production,drive,carpool,transit,walk,other_transp,work_at_home,mean_commute,employed,private_work,public_work,self_employed,family_work,unemployment,land_area
1001,Alabama,Autauga,South,Metro,55221.0,26745.0,28476.0,2.6,75.8,18.5,0.4,1,0,40725.0,51281.0,2391.0,24974.0,1080.0,12.9,18.6,33.2,17,24.2,8.6,17.1,87.5,8.8,0.1,0.5,1.3,23986.0,26.5,23986.0,73.6,20.9,5.5,0,7.6,594.44
1003,Alabama,Baldwin,South,Metro,195121.0,95314.0,99807.0,4.5,83.1,9.5,0.6,0.7,0,147695.0,50254.0,1263.0,27317.0,711.0,13.4,19.2,33.1,17.7,27.1,10.8,11.2,84.7,8.8,0.1,1,1.4,85953.0,26.4,85953.0,81.5,12.3,5.8,0.4,7.5,1589.78
1005,Alabama,Barbour,South,Nonmetro,26932.0,14497.0,12435.0,4.6,46.2,46.7,0.2,0.4,0,20714.0,32964.0,2973.0,16824.0,798.0,26.7,45.3,26.8,16.1,23.1,10.8,23.1,83.8,10.9,0.4,1.8,1.5,8597.0,24.1,8597.0,71.8,20.8,7.3,0.1,17.6,884.88
1007,Alabama,Bibb,South,Metro,22604.0,12073.0,10531.0,2.2,74.5,21.4,0.4,0.1,0,17495.0,38678.0,3995.0,18431.0,1618.0,16.8,27.9,21.5,17.9,17.8,19,23.7,83.2,13.5,0.5,0.6,1.5,8294.0,28.8,8294.0,76.8,16.1,6.7,0.4,8.3,622.58
1009,Alabama,Blount,South,Metro,57710.0,28512.0,29198.0,8.6,87.9,1.5,0.3,0.1,0,42345.0,45813.0,3141.0,20532.0,708.0,16.7,27.2,28.5,14.1,23.9,13.5,19.9,84.9,11.2,0.4,0.9,0.4,22189.0,34.9,22189.0,82,13.5,4.2,0.4,7.7,644.78
1011,Alabama,Bullock,South,Nonmetro,10678.0,5660.0,5018.0,4.4,22.2,70.7,1.2,0.2,0,8057.0,31938.0,5884.0,17580.0,2055.0,24.6,38.4,18.8,15,19.7,20.1,26.4,74.9,14.9,0.7,5,1.7,3865.0,27.5,3865.0,79.5,15.1,5.4,0,18,622.81
1013,Alabama,Butler,South,Nonmetro,20354.0,9502.0,10852.0,1.2,53.3,43.8,0.1,0.4,0,15581.0,32229.0,1793.0,18390.0,714.0,25.4,39.2,27.5,16.6,21.9,10.3,23.7,84.5,12.4,0,0.8,0.6,7813.0,24.6,7813.0,77.4,16.2,6.2,0.2,10.9,776.83
1015,Alabama,Calhoun,South,Metro,116648.0,56274.0,60374.0,3.5,73,20.3,0.2,0.9,0,88612.0,41703.0,925.0,21374.0,489.0,20.5,31.6,27.3,17.7,24.2,10.5,20.4,85.3,9.4,0.2,1.2,1.2,47401.0,24.1,47401.0,74.1,20.8,5,0.1,12.3,605.87
1017,Alabama,Chambers,South,Nonmetro,34079.0,16258.0,17821.0,0.4,57.3,40.3,0.2,0.8,0,26462.0,34177.0,2949.0,21071.0,1366.0,21.6,37.2,23.3,14.5,26.3,11.5,24.4,85.1,11.9,0.2,0.3,0.4,13689.0,25.1,13689.0,85.1,12.1,2.8,0,8.9,596.53
1019,Alabama,Cherokee,South,Nonmetro,26008.0,12975.0,13033.0,1.5,91.7,4.8,0.6,0.3,0,20600.0,36296.0,1710.0,21811.0,1556.0,19.2,30.1,29.3,16,19.5,13.7,21.5,83.9,12.1,0.2,0.6,0.7,10155.0,27.4,10155.0,73.1,18.5,7.9,0.5,7.9,553.7
1021,Alabama,Chilton,South,Metro,43819.0,21619.0,22200.0,7.6,80.5,10.2,0.4,0.3,0,31728.0,41627.0,2025.0,21399.0,1446.0,19.1,30.6,27.2,14.3,23.7,15.3,19.5,81.2,14.2,0.2,1.1,1.4,17895.0,32,17895.0,80.3,15.2,4.1,0.5,9.1,692.85
1023,Alabama,Choctaw,South,Nonmetro,13395.0,6382.0,7013.0,0.4,55.9,42.9,0,0,0,10568.0,33536.0,2231.0,20755.0,1380.0,23.4,34.4,24.9,15.4,19.6,18.3,21.8,85.5,10.3,0.1,1.9,1.4,4405.0,30.7,4405.0,77.5,16.8,5.4,0.3,13.6,913.5
1025,Alabama,Clarke,South,Nonmetro,25070.0,11834.0,13236.0,0.3,53.4,45.3,0,0.4,0.4,19258.0,32011.0,3088.0,20064.0,1469.0,24.7,29.8,21.1,15,25.5,11.6,26.9,82,12.8,0.2,1.3,2.6,8161.0,23,8161.0,83.1,13.6,3.3,0,19.4,1238.47
1027,Alabama,Clay,South,Nonmetro,13537.0,6671.0,6866.0,3.2,79.9,14.4,0.7,0,0,10312.0,35327.0,4517.0,18905.0,1067.0,16.7,22.5,21.5,13.3,20.8,15.3,29.1,84.3,10.4,0.6,1.8,0.9,5180.0,30.3,5180.0,77.5,14.7,7.8,0,9.4,603.96
1029,Alabama,Cleburne,South,Nonmetro,15002.0,7334.0,7668.0,2.3,92.5,2.9,0.2,0.4,0,11367.0,38056.0,3883.0,20151.0,1357.0,17,26.3,28.9,11.7,23.1,15.6,20.7,77.6,17.7,0.1,0.2,1,6065.0,33.3,6065.0,76.3,15.3,8.4,0,8.3,560.1
1031,Alabama,Coffee,South,Nonmetro,50884.0,25174.0,25710.0,6.4,71.5,17.2,0.8,1.2,0,37575.0,46729.0,2066.0,24936.0,854.0,17.1,26.4,32.2,18.6,22.7,12.1,14.5,85.3,9.6,0.1,1,1.3,20912.0,20.9,20912.0,70.3,23.5,5.7,0.5,7.1,678.97
1033,Alabama,Colbert,South,Metro,54444.0,26303.0,28141.0,2.4,78.9,15.6,0.6,0.3,0.1,42075.0,40576.0,2536.0,22546.0,917.0,17.4,26.1,27.3,15.5,25.7,10.7,20.7,90.7,6,0.2,0.9,0.7,21290.0,22.8,21290.0,78.6,16.1,5.2,0,9,592.62
1035,Alabama,Conecuh,South,Nonmetro,12865.0,6176.0,6689.0,1.6,51,44.7,0.3,0,0,9930.0,24900.0,3001.0,15968.0,1369.0,33.8,41.5,19.4,21,20.4,11.4,27.9,93.6,4.3,0,0.6,0.3,3718.0,29.7,3718.0,77.8,13,8.3,0.8,22.6,850.16
1037,Alabama,Coosa,South,Nonmetro,11027.0,5579.0,5448.0,2.1,65.2,30.7,0.1,0,0,8803.0,31212.0,2971.0,17519.0,961.0,19.3,27.5,18,19.8,21.9,12.7,27.6,85.4,10.1,0.5,0.9,1,3852.0,28.6,3852.0,76.6,17.5,5.9,0,17,650.93
1039,Alabama,Covington,South,Nonmetro,37886.0,18339.0,19547.0,1.5,83.3,13,0.5,0.3,0.1,29358.0,36444.0,1673.0,20977.0,723.0,20.2,31.2,26.2,15.6,23.6,15.2,19.4,83,11.2,0.2,1.5,1.9,14202.0,25.5,14202.0,77.1,15.8,6.7,0.4,11.2,1030.46
1041,Alabama,Crenshaw,South,Nonmetro,13938.0,6863.0,7075.0,1.7,70.5,23.5,0.8,1.8,0,10591.0,36022.0,3041.0,20585.0,1229.0,16.7,19.2,27.6,11.6,23.8,12.5,24.6,81.7,11.6,0,1.3,0.8,5620.0,27.9,5620.0,74.1,17.8,7.9,0.3,9.7,608.84
1043,Alabama,Cullman,South,Nonmetro,80965.0,40081.0,40884.0,4.3,92.2,1.1,0.4,0.6,0,61222.0,38971.0,1526.0,20881.0,727.0,18.5,25,28.5,15.6,23.9,13.9,18.1,84.9,10,0.1,1.5,1,32282.0,26.4,32282.0,81.6,12.2,5.8,0.4,7.3,734.84
1045,Alabama,Dale,South,Nonmetro,49866.0,24708.0,25158.0,6,69.8,19.4,0.5,1.2,0,37331.0,45028.0,2413.0,22566.0,911.0,19.1,26.2,27.1,17.2,24.8,14.8,16.2,87.4,6.6,0.1,1.6,1.7,18735.0,20.4,18735.0,73.1,20.9,5.9,0.1,10.9,561.15
1047,Alabama,Dallas,South,Nonmetro,42154.0,19450.0,22704.0,0.3,28.6,69.2,0.2,0.3,0,31231.0,27306.0,2075.0,17808.0,788.0,35,53.8,26.5,19.5,19.3,10.1,24.5,82.3,11.4,0.3,2.2,1.6,14094.0,23.9,14094.0,76.6,16.7,6.2,0.4,16.4,978.7
1049,Alabama,DeKalb,South,Nonmetro,71068.0,35474.0,35594.0,14,80.9,1.8,1.1,0.3,0.1,49341.0,38192.0,1360.0,18411.0,588.0,18.7,25.2,24.2,15.7,21.3,12.4,26.4,86.1,10.4,0,0.6,0.9,27778.0,22.8,27778.0,78.8,12.6,8.5,0.1,7.7,777.09
1051,Alabama,Elmore,South,Metro,80763.0,39362.0,41401.0,2.8,73.6,21,0.2,0.5,0,61172.0,53555.0,1980.0,24381.0,941.0,13.6,20.5,33.3,16,25.2,9.6,15.9,87.1,9,0.1,0.4,1.2,33636.0,28.5,33636.0,70.4,24.1,5.5,0,8.3,618.49
1053,Alabama,Escambia,South,Nonmetro,37935.0,19524.0,18411.0,1.2,60.7,33.4,3.2,0.1,0,29399.0,32330.0,2209.0,17045.0,848.0,24.2,31.8,25.4,21.8,23.1,11,18.7,90.8,6,0.4,1.2,0.5,12294.0,23.1,12294.0,74.5,19,6.4,0.1,15.6,945.08
