carat,cut,color,clarity,depth,table,price,x,y,z
0.31,5,4,5,62.4,55,802,4.35,4.33,2.71
1.5,2,4,2,64.3,57,8190,7.29,7.2,4.66
0.9,4,5,4,62.8,58,3810,6.17,6.13,3.86
1.01,5,3,4,60.9,58,7411,6.43,6.47,3.93
0.33,3,1,5,63.2,56,1109,4.45,4.44,2.81
1.08,5,4,5,62,55,6779,6.62,6.57,4.09
1.07,4,4,3,61.6,58,5453,6.6,6.56,4.05
0.33,4,5,5,59.5,59,743,4.53,4.48,2.68
0.44,5,5,8,62,57,1255,4.87,4.91,3.02
1,4,4,5,58.6,61,6989,6.57,6.5,3.83
1.3,4,7,2,61.1,61,5140,7,6.95,4.26
1.37,3,7,2,60.7,60,5063,7.07,7.19,4.33
1.11,4,2,2,61,60,4177,6.68,6.66,4.07
0.51,5,2,2,62.7,53,1265,5.12,5.09,3.2
0.33,5,4,6,62.5,54,965,4.45,4.41,2.77
1.5,1,3,4,65.3,57,13853,7.15,7.12,4.66
0.35,5,7,4,61.8,55,446,4.54,4.56,2.81
0.43,5,7,8,62.4,56,952,4.87,4.84,3.03
0.9,3,5,3,62.3,63,3387,6.13,6.06,3.8
0.57,5,3,4,61.3,57,1612,5.35,5.39,3.29
0.73,5,7,3,61.8,56,1877,5.78,5.81,3.58
0.31,5,4,7,60.8,56,1046,4.39,4.36,2.66
2.2,4,6,2,63,59,15238,8.22,8.19,5.17
1.51,2,5,2,62.8,60,7929,7.22,7.26,4.55
0.23,5,3,6,61,57,530,3.98,4.02,2.44
0.54,5,2,4,60.8,57,1847,5.29,5.24,3.2
0.33,5,4,8,61.6,56,1052,4.48,4.45,2.75
0.41,4,4,4,61,56,1061,4.83,4.81,2.94
0.42,5,5,5,62.4,57,847,4.76,4.79,2.98
0.31,4,7,5,61.8,59,523,4.33,4.31,2.67
0.32,3,2,3,59.9,57,584,4.47,4.49,2.68
0.3,5,5,8,60.8,56,1013,4.37,4.35,2.65
1.02,3,2,2,60.7,62,4404,6.44,6.47,3.92
1,2,5,4,60.9,61,5254,6.38,6.42,3.9
1.03,5,5,3,61.7,57,5418,6.47,6.53,4.01
0.55,4,5,7,61.1,57,1980,5.35,5.26,3.24
1.12,5,5,3,62,57,5363,6.69,6.64,4.13
0.38,3,3,6,61.9,59.7,1060,4.64,4.65,2.87
0.39,5,6,3,62.4,54,534,4.67,4.69,2.92
0.3,4,4,5,60.2,62,725,4.31,4.3,2.59
0.52,3,1,3,62.7,56,1323,5.08,5.13,3.2
0.43,4,1,3,61.1,59,1064,4.89,4.83,2.97
1.51,5,4,4,62,56,13234,7.32,7.35,4.55
0.71,4,1,3,60.6,58,2913,5.77,5.79,3.5
0.57,5,4,6,60.7,55,2206,5.36,5.34,3.25
1.54,3,6,2,63.3,60,7437,7.34,7.31,4.64
0.56,3,1,7,61.8,55,2866,5.27,5.31,3.27
0.39,5,6,5,62.5,54,1047,4.7,4.67,2.92
0.35,3,4,5,62.9,58,706,4.48,4.49,2.82
0.39,5,4,6,61.9,56,902,4.68,4.7,2.9
1.06,5,3,4,62.1,55,7334,6.52,6.55,4.06
0.5,2,3,4,57.8,63,1279,5.2,5.15,2.99
0.59,5,6,7,61.6,55,1698,5.4,5.45,3.34
1,3,3,5,61.9,58,7450,6.34,6.37,3.94
